project_id,budget,duration_months,employees_impacted,training_hours,communication_score,success_flag,leadership_alignment,project_management,historical_success_rate,risk_mitigation,avg_employee_salary,disengagement_cost,operational_risk_cost
PRJ-260,35806325,5,2933,87,3.1,1,0,1,46.43,72.46,73040,42845264.0,3806661.332295346
PRJ-261,54403015,30,4538,11,2.9,1,0,0,78.24,78.25,60152,54593955.2,14693007.981017537
PRJ-262,155443247,26,4619,138,4.6,1,1,0,37.03,50.24,84606,78159022.8,18604425.78093166
PRJ-263,105529896,30,1216,114,4.9,0,0,1,73.1,78.71,62939,15306764.8,43781665.59702769
PRJ-264,199434090,21,2347,44,3.4,1,1,1,81.68,92.08,87190,40926986.0,45876431.75468289
PRJ-265,162041343,31,955,123,1.5,1,1,0,70.26,30.16,97183,18561953.0,59025457.385118864
PRJ-266,183580324,38,4539,76,3.2,1,1,0,61.1,91.33,94746,86010418.80000001,55842125.56942838
PRJ-267,118832604,16,3279,79,4.3,0,0,1,36.78,66.36,72159,47321872.2,45716683.036575235
PRJ-268,18048723,13,537,100,1.3,0,1,1,0.03,9.57,67684,7269261.600000001,7478002.141386198
PRJ-269,27196597,45,1660,130,4.3,0,0,1,35.03,78.86,104735,34772020.0,11709674.684664102
PRJ-270,67320440,48,263,156,2.6,0,1,0,43.99,61.07,40438,2127038.8000000003,13603155.317810405
PRJ-271,165463357,40,3165,127,4.4,0,1,1,99.61,87.07,96551,61116783.0,32121363.373735674
PRJ-272,35215951,14,2245,113,1.3,0,1,1,11.58,9.08,69793,31337057.0,4259243.316529348
PRJ-273,24686987,22,3791,61,3.1,0,0,1,35.09,37.37,67842,51437804.400000006,5456205.484579513
PRJ-274,44819889,45,506,174,3.6,1,0,0,56.36,96.49,76594,7751312.800000001,19898795.826302458
PRJ-275,108908586,10,2209,64,1.3,0,0,0,72.28,76.01,90426,39950206.800000004,52446615.10446404
PRJ-276,38729441,25,295,12,3.8,1,0,0,82.44,61.64,40807,2407613.0,17899642.231873225
PRJ-277,134373405,31,4856,85,3.7,0,0,1,2.85,83.37,89002,86438742.4,29229666.267541565
PRJ-278,52954105,20,3237,62,2.6,1,1,1,43.07,88.04,97098,62861245.2,23244420.321456365
PRJ-279,118812882,29,4168,40,2.9,1,1,0,38.13,84.77,87776,73170073.60000001,37494757.482476555
PRJ-280,154691087,5,899,165,3.6,0,1,0,19.82,55.3,91304,16416459.200000001,40018883.955112934
PRJ-281,188205338,10,103,81,4.9,0,1,1,97.19,82.9,78194,1610796.4000000001,80348320.5358677
PRJ-282,130443746,39,2103,170,2.4,1,0,0,11.22,55.92,87617,36851710.2,24014948.087707203
PRJ-283,52334448,20,2317,47,1.6,1,0,1,67.88,19.62,68717,31843457.8,20876372.60896145
PRJ-284,157343993,35,900,42,4.3,0,0,0,44.17,85.45,107629,19373220.0,16984250.451877426
PRJ-285,162238117,13,4142,14,2.6,0,1,1,3.37,78.98,94367,78173622.8,79156859.32164985
PRJ-286,11028984,7,4273,115,3.0,0,1,0,5.81,13.4,81140,69342244.0,4591968.218501555
PRJ-287,85826413,26,2048,119,3.0,0,0,1,36.49,55.51,103379,42344038.400000006,15316313.857865814
PRJ-288,124288786,23,2026,48,4.7,0,1,0,27.33,67.23,65459,26523986.8,30804611.08582769
PRJ-289,139197547,14,182,59,1.1,1,0,1,54.08,0.69,53606,1951258.4000000001,14447906.843103074
PRJ-290,141335010,14,3050,91,2.8,0,0,1,43.28,24.97,41606,25379660.0,22281283.545181766
PRJ-291,72237178,46,314,58,3.5,0,1,1,35.62,57.0,101640,6382992.0,7483396.116765339
PRJ-292,119189227,36,4227,94,4.8,1,1,0,61.38,50.13,43766,36999776.4,33078568.03188798
PRJ-293,45404303,8,1632,60,3.8,0,0,0,14.14,86.86,111801,36491846.4,11398891.884345973
PRJ-294,126353189,26,419,53,2.1,0,1,0,50.85,95.41,72244,6054047.2,60614655.831379645
PRJ-295,150677465,38,4078,200,3.0,0,1,1,17.27,4.28,97802,79767311.2,22960218.626648773
PRJ-296,160955043,19,4673,121,2.2,1,1,1,91.08,49.71,64847,60606006.2,26291623.160517383
PRJ-297,193922970,35,4517,35,4.1,0,1,0,9.25,4.68,60645,54786693.0,27514372.963058125
PRJ-298,164856316,16,2996,95,2.6,1,1,1,60.83,38.59,56700,33974640.0,60124230.174157456
PRJ-299,89883135,34,877,162,3.4,0,1,1,68.84,16.68,95519,16754032.600000001,21771584.234005302
PRJ-300,140096706,4,4784,50,3.5,1,1,1,32.88,69.11,115558,110565894.4,29238173.092396215
PRJ-301,89026308,35,4283,200,1.0,1,0,1,86.95,22.51,72511,62112922.6,14336162.790449707
PRJ-302,19766416,46,1937,83,3.7,1,0,0,21.43,35.96,42814,16586143.600000001,9136672.98784789
PRJ-303,4093389,26,2558,27,3.0,0,0,0,7.06,10.51,95172,48689995.2,1782012.4632731415
PRJ-304,113882357,18,4759,54,1.7,0,0,1,43.91,2.63,100605,95755839.0,46706464.125661775
PRJ-305,147134891,42,2693,173,4.3,1,1,1,92.8,36.88,79532,42835935.2,42328118.83383291
PRJ-306,9671568,15,2581,74,2.4,1,0,0,41.78,88.93,86587,44696209.400000006,3430273.0764910467
PRJ-307,102732993,43,3954,90,1.8,1,0,1,50.01,10.14,95789,75749941.2,42943901.72772048
PRJ-308,59462564,6,4733,99,3.8,1,1,1,54.95,58.88,62088,58772500.800000004,6231727.262209502
PRJ-309,6750754,22,936,86,1.3,1,0,0,71.61,18.97,82380,15421536.0,1883410.450741974
PRJ-310,6920802,17,1505,136,2.6,0,0,1,3.8,8.29,49597,14928697.0,1808956.1854994227
PRJ-311,114458210,27,1747,189,4.0,0,1,1,64.93,92.94,62067,21686209.8,22766365.135443617
PRJ-312,2462235,22,4322,95,2.7,1,0,1,91.58,73.27,75292,65082404.800000004,385475.56589923135
PRJ-313,153449125,14,1309,26,2.0,0,1,1,14.86,13.11,54083,14158929.4,50781136.40361603
PRJ-314,56314869,9,1012,26,3.8,1,0,1,69.23,39.42,116028,23484067.200000003,23204858.904115856
PRJ-315,85114008,10,2245,74,2.3,1,0,1,62.25,26.54,63242,28395658.0,26505042.353082925
PRJ-316,66415876,11,2045,81,3.6,0,0,1,36.07,60.38,40759,16670431.0,8779585.423997201
PRJ-317,22934886,9,4826,10,3.1,1,1,0,12.31,87.7,43114,41613632.800000004,11258766.59179142
PRJ-318,59432214,19,4157,139,1.5,1,1,0,93.42,87.32,104413,86808968.2,24229816.819187477
PRJ-319,187271048,7,731,19,2.8,1,1,0,0.61,34.8,99192,14501870.4,92635091.14573564
PRJ-320,127299624,48,1646,171,3.3,0,0,1,71.31,45.2,104352,34352678.4,63540166.67424274
PRJ-321,53203654,26,200,168,1.1,1,0,0,34.26,36.54,115515,4620600.0,13973942.673157355
PRJ-322,72676544,42,2324,151,4.7,1,1,1,70.63,9.73,49267,22899301.6,16275246.91094245
PRJ-323,109643975,45,680,195,2.2,1,0,0,20.45,86.87,52748,7173728.0,18096764.559589323
PRJ-324,88905852,4,4055,30,4.5,1,1,0,98.47,46.19,77772,63073092.0,17352204.79482228
PRJ-325,170460354,22,3287,23,3.8,1,1,1,10.07,22.77,103852,68272304.8,65533847.94143924
PRJ-326,79243884,14,2983,72,2.2,1,1,0,83.33,43.94,77000,45938200.0,18666100.83523526
PRJ-327,145726045,38,4507,31,1.5,1,1,1,34.61,61.6,52596,47410034.400000006,48725781.523692146
PRJ-328,1358401,6,675,148,2.4,1,0,0,34.01,24.13,71548,9658980.0,256160.3329636158
PRJ-329,140260192,6,3027,90,2.0,1,1,0,25.95,64.1,52871,32008103.400000002,34248731.47662093
PRJ-330,82687014,28,4864,172,1.7,0,1,1,48.84,63.86,100847,98103961.60000001,38734453.55828826
PRJ-331,48259096,6,1540,106,3.8,1,1,0,94.24,91.1,58465,18007220.0,8755705.684381243
PRJ-332,191938300,13,2056,162,3.0,1,1,0,71.41,18.41,109059,44845060.800000004,85055373.15738864
PRJ-333,108839947,31,1944,155,1.8,0,1,0,97.82,30.3,54380,21142944.0,32567094.19464206
PRJ-334,116309096,41,3689,67,1.1,1,0,0,68.38,1.39,50476,37241192.800000004,20991087.726721972
PRJ-335,54309936,11,2665,92,4.1,1,0,0,80.32,95.01,115352,61482616.0,13017359.869575495
PRJ-336,52902304,14,4175,20,4.0,1,0,1,29.11,32.2,69133,57726055.0,21683285.871691335
PRJ-337,142942436,4,416,49,4.1,1,0,1,15.12,83.62,79956,6652339.2,41583942.39280791
PRJ-338,123991078,23,1066,93,1.7,0,0,1,90.3,98.82,41704,8891292.8,19364897.5334993
PRJ-339,63010093,27,628,100,1.1,0,1,1,21.15,84.52,82166,10320049.600000001,21556642.048145812
PRJ-340,30164366,47,586,28,3.1,1,1,1,25.82,24.96,71137,8337256.4,12724398.88785448
PRJ-341,181778628,35,3268,131,3.4,0,1,0,2.34,10.06,43239,28261010.400000002,23595935.770654675
PRJ-342,152100760,26,3525,78,1.4,1,0,1,22.77,57.73,116632,82225560.0,37842210.89858736
PRJ-343,168326524,46,3576,144,4.6,0,1,0,72.36,50.75,83321,59591179.2,41209100.66377137
PRJ-344,87900711,8,209,131,4.8,1,0,1,43.14,46.13,63791,2666463.8000000003,29502207.842668876
PRJ-345,186271826,30,982,79,2.4,0,1,1,33.92,18.06,63051,12383216.4,45848960.543005206
PRJ-346,3374028,26,1139,198,1.8,1,1,0,27.79,41.23,106890,24349542.0,1318123.5367759143
PRJ-347,23961149,42,4040,139,4.0,0,0,1,11.17,72.42,99510,80404080.0,8908552.287787238
PRJ-348,29625526,7,1629,125,1.3,1,1,0,46.08,12.6,106961,34847893.800000004,8358794.11814958
PRJ-349,62328253,5,758,185,3.4,0,0,0,55.78,82.05,89146,13514533.600000001,23756948.430176143
PRJ-350,57060227,16,4898,27,3.8,1,0,1,78.57,43.67,85136,83399225.60000001,15025552.240527997
PRJ-351,20979458,12,4085,60,4.8,0,0,0,29.74,32.3,117494,95992598.0,6723008.757869297
PRJ-352,39629948,11,3791,62,1.5,0,0,0,84.64,6.13,96174,72919126.8,6931076.672005024
PRJ-353,167208274,14,4117,144,2.9,0,1,1,8.56,26.76,56817,46783117.800000004,40820554.647386745
PRJ-354,69063020,33,3290,120,4.3,1,0,0,76.01,89.58,94602,62248116.0,25773482.3473698
PRJ-355,27253212,31,3556,102,4.6,1,1,1,35.35,95.33,52249,37159488.800000004,13024562.721620865
PRJ-356,190416730,29,2274,36,4.5,0,1,1,84.31,81.25,64656,29405548.8,40362592.03379362
PRJ-357,13860186,31,2338,29,3.1,1,0,0,39.0,19.94,70041,32751171.6,1520921.2561843486
PRJ-358,180091225,30,4604,96,4.7,1,0,0,58.09,8.64,51789,47687311.2,54469287.32999079
PRJ-359,107095167,25,2742,78,3.4,1,1,1,9.33,48.69,82002,44969896.800000004,15900227.42614561
PRJ-360,190306153,9,4505,74,1.1,0,0,1,65.41,27.86,59297,53426597.0,85403852.24958915
PRJ-361,186381878,38,4702,126,1.1,1,1,1,54.48,27.08,61642,57968136.800000004,32708879.755407635
PRJ-362,55182972,26,2632,72,1.4,1,0,0,31.33,19.58,97110,51118704.0,7436607.656069109
PRJ-363,101017599,24,3291,124,3.4,0,1,1,42.53,4.34,76885,50605707.0,22430037.873521496
PRJ-364,107490043,19,1366,71,4.5,0,0,1,18.38,40.76,95013,25957551.6,14957893.228790546
PRJ-365,22778726,19,552,186,4.0,0,0,1,64.75,65.09,48628,5368531.2,5155274.526384274
PRJ-366,49828901,34,1291,175,3.6,1,0,1,32.34,84.01,86111,22233860.200000003,7109526.801267447
PRJ-367,100655969,3,3149,13,3.4,1,1,1,22.92,91.76,58587,36898092.6,48363026.25394633
PRJ-368,105359930,25,1686,174,3.8,0,0,0,32.24,12.26,78630,26514036.0,34312326.51666063
PRJ-369,168019761,40,2494,17,3.6,1,1,0,69.68,82.82,117433,58575580.400000006,32618934.718496345
PRJ-370,189473590,24,822,38,4.1,0,1,1,6.79,8.14,43145,7093038.0,38966621.82454389
PRJ-371,166676780,17,1015,178,1.7,1,0,0,4.5,9.97,44022,8936466.0,75785222.22580202
PRJ-372,192092251,9,2090,167,1.3,0,1,0,65.28,4.5,106868,44670824.0,81489590.36847769
PRJ-373,151213922,42,1944,181,4.9,1,0,0,93.1,77.65,109008,42382310.400000006,57973325.49870726
PRJ-374,75100134,14,186,15,3.8,0,0,1,53.63,38.86,88325,3285690.0,20034541.934088103
PRJ-375,14734112,38,441,30,3.2,0,0,0,38.58,78.96,70711,6236710.2,2901269.967753519
PRJ-376,173942105,9,4243,137,4.4,0,1,1,12.49,53.97,69034,58582252.400000006,34894026.49977476
PRJ-377,148109958,10,2713,98,2.2,0,1,0,27.39,52.57,73565,39916369.0,28152451.15836949
PRJ-378,90766402,23,2303,88,1.2,0,0,1,94.65,57.91,108391,49924894.6,43095094.59203394
PRJ-379,134934525,46,1796,164,2.5,1,1,0,14.29,14.29,52561,18879911.2,43272997.20938313
PRJ-380,116633532,31,4478,87,2.1,0,1,0,51.56,69.64,104916,93962769.60000001,44713977.36208696
PRJ-381,156605183,30,2154,185,4.8,0,1,0,1.99,62.0,118354,50986903.2,42182183.78541135
PRJ-382,161448963,15,2593,125,4.1,0,0,0,72.61,23.57,71763,37216291.800000004,60673106.759369485
PRJ-383,100762026,48,1987,125,2.8,0,1,0,2.64,97.65,89857,35709171.800000004,11098880.845788734
PRJ-384,43039779,24,4560,174,2.4,1,1,0,10.74,81.91,92098,83993376.0,19472438.19528389
PRJ-385,144369060,16,2492,19,3.3,0,1,1,93.6,25.68,94058,46878507.2,43832864.12848461
PRJ-386,158321617,34,1078,137,2.9,0,1,0,86.95,95.76,99987,21557197.200000003,66826133.1602629
PRJ-387,36710598,40,139,118,1.2,0,1,1,78.69,6.99,44534,1238045.2,14210758.349864053
PRJ-388,198795391,38,883,99,3.7,0,0,0,78.77,89.41,57810,10209246.0,52787775.476764224
PRJ-389,136380871,15,2959,121,3.8,0,1,1,14.22,40.36,89426,52922306.800000004,54333202.77800639
PRJ-390,36564045,44,1352,21,3.2,0,0,1,85.89,82.67,80947,21888068.8,12331812.770093933
PRJ-391,152969685,13,910,60,1.2,1,1,0,96.64,50.07,58718,10686676.0,27734505.08310176
PRJ-392,128879472,17,4556,179,2.1,0,0,1,68.36,59.62,73227,66724442.400000006,26093475.169165637
PRJ-393,123056623,31,2383,183,4.2,0,0,1,34.14,68.59,68225,32516035.0,43991338.06382604
PRJ-394,115055656,20,365,25,4.0,1,0,1,18.52,6.37,93069,6794037.0,32531862.682792414
PRJ-395,10367003,4,561,151,1.8,0,1,0,80.93,29.18,72290,8110938.0,4620596.557598273
PRJ-396,2914306,18,76,173,1.8,0,0,0,57.79,50.16,84947,1291194.4000000001,1242053.5923321804
PRJ-397,57785388,42,3458,130,1.5,0,1,1,52.98,4.73,44222,30583935.200000003,19978077.786983803
PRJ-398,67583492,40,475,46,1.9,0,1,1,84.25,30.33,58036,5513420.0,32201408.27000809
PRJ-399,36697891,48,3343,102,4.6,0,0,0,99.59,23.9,76068,50859064.800000004,9798318.083836395
PRJ-400,199957851,15,2754,52,3.0,0,1,1,36.53,46.02,44262,24379509.6,78424852.09676066
PRJ-401,14093238,48,4517,186,4.0,1,0,0,42.1,1.74,92336,83416342.4,5670609.380499589
PRJ-402,54323648,35,4296,182,3.2,0,1,1,46.92,62.79,77688,66749529.6,24260149.80947294
PRJ-403,142071141,48,390,155,4.9,0,1,0,13.28,93.04,95413,7442214.0,26894442.99280847
PRJ-404,18799621,7,3383,42,2.8,0,1,0,50.18,43.86,42986,29084327.6,1912522.2016339719
PRJ-405,4164861,33,712,182,3.5,0,0,0,69.86,82.35,92350,13150640.0,1377298.1954416384
PRJ-406,12534311,8,744,11,4.3,1,0,1,15.98,71.68,108997,16218753.600000001,2215360.082184074
PRJ-407,142103466,4,3100,175,1.8,1,0,1,1.94,72.06,100929,62575980.0,59573366.1015781
PRJ-408,146057957,6,65,38,4.9,0,0,0,41.14,73.72,96912,1259856.0,33332554.584171075
PRJ-409,29432251,27,2666,101,3.1,0,0,1,72.65,25.12,82718,44105237.6,7460394.984193036
PRJ-410,162381636,12,3664,107,1.3,0,0,1,40.07,54.58,118237,86644073.60000001,57066089.89473467
PRJ-411,163260778,42,4649,33,3.1,1,1,1,30.15,56.06,91128,84730814.4,63228188.86381802
PRJ-412,167911841,22,4595,197,1.5,0,1,0,63.48,67.87,62557,57489883.0,42511389.97955489
PRJ-413,111968412,5,431,166,1.8,1,1,0,77.63,96.21,93218,8035391.600000001,23160738.20836787
PRJ-414,186955259,32,2461,62,2.8,1,0,0,0.9,58.38,85208,41939377.6,61207046.406962685
PRJ-415,68985224,25,1176,155,3.1,0,0,0,75.58,44.28,90051,21179995.200000003,24251706.186699074
PRJ-416,42291511,23,4774,59,3.0,1,1,0,41.63,29.67,81777,78080679.60000001,7290112.764247033
PRJ-417,152681555,18,1914,103,2.7,1,0,1,43.43,29.44,75834,29029255.200000003,53054989.18392029
PRJ-418,122693704,14,448,126,1.4,1,0,0,92.14,44.0,56986,5105945.600000001,12715394.884903502
PRJ-419,138169058,3,4530,136,3.1,1,1,0,86.05,52.36,52938,47961828.0,58426839.396790944
PRJ-420,149500230,5,1032,64,2.9,0,0,0,67.35,43.71,46517,9601108.8,27408974.081089716
PRJ-421,117956316,38,2555,12,1.2,0,0,1,15.89,4.44,64019,32713709.0,47980340.863424696
PRJ-422,118608717,27,1348,168,3.9,1,1,0,73.74,61.72,88280,23800288.0,41308209.91591084
PRJ-423,103049859,21,276,176,2.8,0,0,1,26.26,45.32,40503,2235765.6,39787607.73397475
PRJ-424,110789703,39,3709,147,4.0,0,0,0,50.44,97.56,107624,79835483.2,13385169.346495787
PRJ-425,125667542,14,4284,169,1.9,0,0,1,69.76,46.16,86365,73997532.0,55217659.729417585
PRJ-426,55821146,25,4832,128,2.1,1,1,1,94.27,6.67,82169,79408121.60000001,18278299.27514815
PRJ-427,176629113,33,2744,182,2.1,0,0,1,25.93,66.58,116303,63827086.400000006,52542685.08596883
PRJ-428,158379113,34,3431,191,2.0,1,1,1,39.88,92.66,111845,76748039.0,23350853.92364179
PRJ-429,172107633,44,2301,133,3.7,1,0,1,30.09,40.19,76664,35280772.800000004,32425258.666166767
PRJ-430,118423011,44,1801,132,3.7,0,0,1,76.09,39.21,93613,33719402.6,12646454.807087174
PRJ-431,13469888,28,423,43,3.0,0,1,0,86.32,33.85,68928,5831308.800000001,5143832.539760366
PRJ-432,114173171,10,3039,49,4.0,1,1,0,41.58,4.36,115525,70216095.0,43283207.29282205
PRJ-433,42711895,26,3601,50,1.8,1,0,0,60.49,29.9,104116,74984343.2,7123303.092063645
PRJ-434,68492112,25,1777,47,1.2,1,0,0,20.6,14.06,92631,32921057.400000002,18588817.802032277
PRJ-435,6211708,13,4601,143,4.4,0,0,1,17.79,94.04,116885,107557577.0,1310464.7017624641
PRJ-436,71196999,31,700,181,2.5,1,0,1,3.87,44.17,75401,10556140.0,26788955.17448992
PRJ-437,190290961,31,2483,99,3.1,0,0,1,8.16,24.86,60592,30089987.200000003,73118404.87956066
PRJ-438,73347838,39,1054,39,4.2,1,0,0,42.8,49.41,77686,16376208.8,29239668.842709668
PRJ-439,151993090,16,773,185,4.7,0,1,0,23.65,86.16,52318,8088362.800000001,23030145.76971699
PRJ-440,114481254,7,2915,158,1.6,1,1,1,7.11,74.36,44443,25910269.0,31834598.503381293
PRJ-441,88203677,40,3955,38,2.2,0,1,0,29.22,12.26,87050,68856550.0,21056163.198468395
PRJ-442,34099330,32,1545,142,1.9,1,0,1,26.49,30.04,106748,32985132.0,14285198.83715328
PRJ-443,71363918,9,757,139,1.7,1,0,1,67.37,22.3,97530,14766042.0,16905305.979418248
PRJ-444,132577874,3,1442,59,3.6,0,1,0,9.8,3.75,111232,32079308.8,17465317.59644786
PRJ-445,194510849,26,2784,137,1.6,1,1,0,68.62,79.49,42455,23638944.0,81911370.09994414
PRJ-446,161977437,25,4316,56,1.3,1,0,1,54.98,91.09,119759,103375968.80000001,25832723.682572532
PRJ-447,5738758,19,4093,64,4.5,1,1,1,57.57,53.64,118287,96829738.2,1102342.2580961285
PRJ-448,46872720,27,851,176,2.3,1,1,1,11.39,52.0,99574,16947494.8,22744266.074251786
PRJ-449,91550092,23,4516,92,2.0,0,1,1,39.21,15.55,111170,100408744.0,35843827.89750679
PRJ-450,82815547,6,2741,52,1.3,1,1,1,43.73,79.77,91528,50175649.6,37319762.17619472
PRJ-451,15843358,31,3566,199,2.3,0,1,1,45.16,50.57,59652,42543806.400000006,4024986.196384725
PRJ-452,119466874,39,4884,32,3.7,0,1,1,78.18,44.89,113274,110646043.2,24021034.26970466
PRJ-453,86145086,33,3499,77,1.4,1,0,1,70.31,56.86,109587,76688982.60000001,32247257.689013425
PRJ-454,96539110,16,4692,66,4.3,0,0,1,10.52,28.3,74069,69506349.60000001,33554184.729759034
PRJ-455,63098487,29,4697,52,1.9,1,0,0,44.16,8.16,83152,78112988.8,7617478.392743683
PRJ-456,69441846,21,1031,103,1.0,1,0,1,55.34,86.64,109427,22563847.400000002,27172178.0570757
PRJ-457,80810520,35,192,195,3.7,1,1,0,47.87,17.22,51049,1960281.6,40402293.05268655
PRJ-458,83361366,13,2011,170,1.0,0,0,1,68.59,44.36,76972,30958138.400000002,33910159.94190366
PRJ-459,149836703,12,4630,96,2.1,1,0,0,99.38,41.72,84603,78342378.0,62719319.83987956
PRJ-460,8976931,32,668,127,3.7,1,1,0,75.75,54.2,107532,14366275.200000001,1751862.1602469995
PRJ-461,42492142,12,4510,18,4.7,0,0,1,45.5,72.26,61712,55664224.0,6404771.301989864
PRJ-462,106882869,25,3742,200,2.1,0,0,1,98.32,6.48,106277,79537706.8,25422449.261913795
PRJ-463,134256476,40,1370,59,2.7,0,0,1,54.75,6.46,75284,20627816.0,33170697.37630039
PRJ-464,158808156,3,2288,24,3.3,1,1,1,4.43,61.12,111453,51000892.800000004,73267704.04015365
PRJ-465,163370890,29,833,196,1.1,0,0,1,53.72,99.44,50303,8380479.800000001,53223981.83559186
PRJ-466,34575408,15,244,189,3.9,0,1,0,24.81,13.03,99870,4873656.0,17078717.040781368
PRJ-467,176414276,35,4359,163,1.3,0,1,0,2.12,61.03,87457,76245012.60000001,61350224.6517051
PRJ-468,69343908,10,4040,12,2.4,1,1,0,62.29,69.49,56041,45281128.0,27899024.104779046
PRJ-469,178559500,8,2267,13,3.0,0,0,0,92.69,80.07,82230,37283082.0,26907119.10343003
PRJ-470,39014778,4,2154,166,3.6,1,1,0,43.18,23.55,67215,28956222.0,11018703.68129403
PRJ-471,196953845,29,2503,38,1.0,1,0,1,44.72,77.68,75012,37551007.2,27105965.092530675
PRJ-472,128785084,21,2901,63,3.4,1,1,1,59.66,51.5,91557,53121371.400000006,45210728.44900413
PRJ-473,26594900,8,2936,136,4.6,1,0,0,45.35,71.23,77380,45437536.0,10369061.993041161
PRJ-474,130039042,39,1933,48,3.8,1,1,0,10.36,70.37,66886,25858127.6,48546578.04128188
PRJ-475,2396353,41,2733,90,3.8,0,0,0,18.95,89.59,53382,29178601.200000003,540352.6710882039
PRJ-476,15982924,22,114,62,3.0,0,1,0,94.05,52.73,80886,1844200.8,3122525.2231488237
PRJ-477,148013640,19,3367,52,2.7,0,0,1,82.44,26.35,117126,78872648.4,32722272.674698513
PRJ-478,144183249,13,275,26,1.9,0,0,1,50.39,77.64,90587,4982285.0,63624990.3175137
PRJ-479,185223030,7,4636,20,2.6,0,1,1,53.19,52.42,88840,82372448.0,51114666.42341458
PRJ-480,93833361,21,3300,119,2.8,1,1,1,24.83,48.58,103252,68146320.0,9400482.60489434
PRJ-481,103443991,40,547,35,4.3,1,1,0,46.94,14.05,73343,8023724.2,25485609.03149386
PRJ-482,144023807,47,4257,83,4.9,0,0,1,66.37,14.2,91890,78235146.0,71186233.87714076
PRJ-483,113159772,11,3337,173,2.8,0,1,0,41.22,83.26,45168,30145123.200000003,17676474.44748491
PRJ-484,58547446,3,3368,41,2.9,0,1,1,88.57,43.25,47605,32066728.0,25918551.74354465
PRJ-485,85883447,13,3817,151,2.1,0,1,0,99.86,47.97,45553,34775160.2,40759260.14206075
PRJ-486,49929257,22,3847,143,3.2,1,0,0,43.82,12.36,45005,34626847.0,22041062.74786991
PRJ-487,37288573,41,4646,51,1.5,1,0,0,53.27,91.13,115854,107651536.80000001,16706164.277455866
PRJ-488,20880627,37,2131,188,1.0,1,1,1,95.35,70.23,55429,23623839.8,5893760.767832287
PRJ-489,34562365,45,4136,11,1.1,0,0,1,7.83,7.39,100780,83365216.0,13582271.572423829
PRJ-490,109662067,4,4530,141,1.9,0,0,0,1.5,33.57,59886,54256716.0,17442968.891297776
PRJ-491,86011564,21,4978,147,2.5,0,0,0,68.04,50.05,95367,94947385.2,17408733.22621925
PRJ-492,79218348,16,4927,37,3.4,0,1,1,11.58,72.13,62681,61765857.400000006,10097666.60966778
PRJ-493,149295309,11,4836,21,4.3,1,0,1,20.19,93.08,103423,100030725.60000001,18272288.445776533
PRJ-494,82866951,36,2191,147,3.0,1,0,1,75.81,77.94,57937,25387993.400000002,15065482.772100074
PRJ-495,20452393,35,2803,121,1.2,0,0,0,28.69,21.35,89398,50116518.800000004,8025945.202177963
PRJ-496,88597395,34,3328,62,3.1,0,1,1,59.01,4.6,71359,47496550.400000006,31602454.457216594
PRJ-497,72274578,27,2291,159,2.5,1,0,1,13.46,69.75,71721,32862562.200000003,10452525.724205595
PRJ-498,175094803,43,420,163,2.5,1,1,0,1.18,89.92,89504,7518336.0,76434202.06893013
PRJ-499,195525461,4,1960,22,3.4,1,0,1,18.73,19.02,92998,36455216.0,21834807.235004403
PRJ-500,36256556,34,118,80,2.4,1,0,1,4.43,54.99,89883,2121238.8000000003,15034677.551021291
